valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Popularidad,artistslist,numero_de_artistas,mainartist,duration_s,feat
0.187,1969,0.0302,['The Beatles'],0.5329999999999999,259947,0.376,0,2EqlS6tkEnglzr7tkKAAYD,0.248,9,0.0926,-11.913,0,Come Together - Remastered 2009,79,1969-09-26,0.0393,165.007,Popular,,1,The Beatles,259.947,0
0.489,1969,0.447,['The Rolling Stones'],0.634,270773,0.63,0,6H3kDe7CGoWYBabAeVWGiD,0.039,1,0.17,-8.277000000000001,0,Gimme Shelter,76,1969-12-05,0.031,118.628,Popular,,1,The Rolling Stones,270.773,0
0.422,1969,0.0484,['Led Zeppelin'],0.412,333893,0.902,0,0hCB0YR03f6AmQaHbwWDe8,0.131,9,0.405,-11.6,1,Whole Lotta Love - 1990 Remaster,77,1969-10-22,0.405,89.74,Popular,,1,Led Zeppelin,333.893,0
0.8859999999999999,1969,0.305,['The Jackson 5'],0.469,176333,0.5379999999999999,0,5LxvwujISqiB8vpRYv887S,1.2e-4,8,0.37,-13.559,1,I Want You Back,76,1969-12-18,0.0571,196.605,Popular,,1,The Jackson 5,176.333,0
0.828,1970,0.0534,['Stevie Wonder'],0.675,161160,0.597,0,2eF8pWbiivYsYRpbntYsnc,0,5,0.0986,-11.329,1,"Signed, Sealed, Delivered (I'm Yours)",77,1970-08-07,0.0337,108.875,Popular,,1,Stevie Wonder,161.16,0
0.619,1970,0.013,['Led Zeppelin'],0.564,146250,0.932,0,78lgmZwycJ3nzsdgmPPGNx,0.16899999999999998,11,0.349,-10.068,1,Immigrant Song - Remaster,77,1970,0.0554,112.937,Popular,,1,Led Zeppelin,146.25,0
0.41,1970,0.631,['The Beatles'],0.443,243027,0.403,0,7iN1s7xHE4ifF5povM6A48,0,0,0.111,-8.339,1,Let It Be - Remastered 2009,78,1970-05-08,0.0322,143.46200000000005,Popular,,1,The Beatles,243.027,0
0.325,1970,0.828,['Elton John'],0.5539999999999999,241787,0.315,0,38zsOOcu31XbbYj9BIPUF1,5.53e-6,3,0.101,-11.028,1,Your Song,77,1970-04-10,0.0298,128.157,Popular,,1,Elton John,241.787,0
0.5539999999999999,1970,0.376,['Yusuf / Cat Stevens'],0.484,200173,0.508,0,6Xz7FeyE8HTP90HecgHV57,7.91e-4,0,0.0961,-9.308,1,Wild World,77,1970-11-23,0.0364,151.86700000000005,Popular,,1,Yusuf / Cat Stevens,200.173,0
0.583,1970,0.0972,['George Harrison'],0.537,281227,0.701,0,0qdQUeKVyevrbKhAo0ibxS,0,1,0.0832,-8.913,0,My Sweet Lord - Remastered 2014,76,1970-11-27,0.0335,120.919,Popular,,1,George Harrison,281.227,0
0.282,1971,0.382,['Elton John'],0.414,377093,0.428,0,2TVxnKdb3tqe1nhQWwwZCO,2.43e-4,0,0.14800000000000002,-11.097,1,Tiny Dancer,79,1971-11-05,0.0278,145.075,Popular,,1,Elton John,377.093,0
0.15,1971,0.313,['The Who'],0.489,300400,0.7240000000000001,0,3qiyyUfYe7CRYLucrPmulD,0.185,5,0.287,-8.367,1,Baba O'Riley,77,1971-08-14,0.0352,117.292,Popular,,1,The Who,300.4,0
0.197,1971,0.58,['Led Zeppelin'],0.338,482830,0.34,0,5CQ30WqJwcep0pYcV4AMNc,0.0032,9,0.116,-12.049,0,Stairway to Heaven - Remaster,78,1971-11-08,0.0339,82.43299999999998,Popular,,1,Led Zeppelin,482.83,0
0.514,1971,0.457,['Bill Withers'],0.479,125093,0.416,0,1k1Bqnv2R0uJXQN4u6LKYt,1.7199999999999998e-5,4,0.118,-11.451,0,Ain't No Sunshine,77,1971-05-01,0.124,79.593,Popular,,1,Bill Withers,125.093,0
0.16899999999999998,1971,0.907,['John Lennon'],0.547,187867,0.257,0,7pKfPomDEeI4TPT6EOYjn9,0.183,0,0.0935,-12.358,1,Imagine - Remastered 2010,78,1971-09-09,0.0252,75.752,Popular,,1,John Lennon,187.867,0
0.341,1972,0.4320000000000001,['Elton John'],0.601,281613,0.532,0,3gdewACMIVMEWVbyb8O9sY,6.25e-6,10,0.0925,-9.119,1,"Rocket Man (I Think It's Going To Be A Long, Long Time)",82,1972-05-19,0.0286,136.571,Popular,,1,Elton John,281.613,0
0.74,1972,0.343,['Eagles'],0.575,211578,0.67,0,4yugZvBYaoREkJKtbG08Qr,4.95e-6,7,0.129,-10.39,1,Take It Easy - 2013 Remaster,77,1972,0.0318,139.191,Popular,,1,Eagles,211.578,0
0.913,1972,0.221,['The Doobie Brothers'],0.645,227267,0.598,0,7Ar4G7Ci11gpt6sfH9Cgz5,3.53e-6,1,0.0721,-13.18,0,Listen to the Music,76,1972,0.0335,105.929,Popular,,1,The Doobie Brothers,227.267,0
0.831,1972,0.6859999999999999,"['America', 'George Martin']",0.654,252240,0.506,0,54eZmuggBFJbV7k248bTTt,0.0155,11,0.155,-17.18,0,A Horse with No Name,77,1972,0.0535,123.179,Popular,,2,America,252.24,1
0.385,1972,0.6829999999999999,['Lou Reed'],0.575,254173,0.318,0,5p3JunprHCxClJjOmcLV8G,2.02e-4,0,0.0934,-16.729,1,Walk On the Wild Side,76,1972-12-01,0.109,104.522,Popular,,1,Lou Reed,254.173,0
0.7959999999999999,1973,0.365,['Steve Miller Band'],0.596,264504,0.448,0,1bp2IO61zbQrbWNmKKxg3f,5.3e-6,5,0.206,-9.616,1,The Joker,76,1973-01-01,0.0396,83.29299999999998,Popular,,1,Steve Miller Band,264.504,0
0.224,1973,0.388,['Aerosmith'],0.307,266960,0.433,0,5MxNLUsfh7uzROypsoO5qe,9.08e-5,1,0.332,-10.057,1,Dream On,79,1973-01-05,0.029,160.9,Popular,,1,Aerosmith,266.96,0
0.429,1973,0.605,['Billy Joel'],0.331,339000,0.55,0,70C4NyhjD5OZUMzvWZ3njJ,3.96e-6,0,0.192,-6.483,1,Piano Man,76,1973-11-07,0.0272,177.734,Popular,,1,Billy Joel,339,0
0.957,1973,0.172,['Redbone'],0.731,205933,0.804,0,7GVUmCP00eSsqc4tzj1sDD,2.8e-4,11,0.0685,-7.621,0,Come and Get Your Love - Single Version,77,1973-11-01,0.0473,107.383,Popular,,1,Redbone,205.933,0
0.606,1973,0.00249,['ZZ Top'],0.545,230480,0.64,0,70YvYr2hGlS01bKRIho1HM,0.0304,4,0.196,-9.937,0,La Grange - 2005 Remaster,76,1973-07-26,0.224,80.544,Popular,,1,ZZ Top,230.48,0
0.8859999999999999,1974,0.181,['Lynyrd Skynyrd'],0.596,283800,0.605,0,7e89621JPkKaeDSTQ3avtg,3.31e-4,7,0.0863,-12.145,1,Sweet Home Alabama,82,1974-04-15,0.0255,97.798,Popular,,1,Lynyrd Skynyrd,283.8,0
0.423,1975,0.883,['Fleetwood Mac'],0.414,199493,0.161,0,5ihS6UUlyQAfmp48eSkxuQ,2.23e-4,7,0.117,-22.32,0,Landslide,80,1975-07-11,0.0318,159.375,Popular,,1,Fleetwood Mac,199.493,0
0.375,1975,0.735,['Pink Floyd'],0.481,334744,0.262,0,6mFkJmJqdDVQ1REhVfGgd1,0.0114,7,0.8320000000000001,-15.73,1,Wish You Were Here,77,1975-09-12,0.0414,122.883,Popular,,1,Pink Floyd,334.744,0
0.609,1976,0.00574,['Eagles'],0.579,391376,0.508,0,40riOy7x9W7GXjyGp4pjAv,4.94e-4,2,0.0575,-9.484,1,Hotel California - 2013 Remaster,83,1976-12-08,0.027,147.125,Popular,,1,Eagles,391.376,0
0.385,1976,0.0029,['Blue Öyster Cult'],0.333,308120,0.927,0,5QTxFnGygVM4jFQiBovmRo,2.08e-4,9,0.297,-8.55,0,(Don't Fear) The Reaper,77,1976,0.0733,141.466,Popular,,1,Blue Öyster Cult,308.12,0
0.28800000000000003,1976,8.9399999999999e-4,['Boston'],0.377,285133,0.682,0,1QEEqeFIZktqIpPI4jSVSF,0.00217,7,0.0504,-8.039,1,More Than a Feeling,79,1976,0.0299,108.736,Popular,,1,Boston,285.133,0
0.435,1976,0.153,['AC/DC'],0.754,214667,0.759,0,7LRMbd3LEoV5wZJvXT1Lwb,1.08e-4,9,0.101,-5.218,1,T.N.T.,78,1976-05-14,0.302,126.366,Popular,,1,AC/DC,214.667,0
0.754,1976,0.358,['ABBA'],0.5429999999999999,230400,0.87,0,0GjEhVFGZW8afUYGChu3Rr,9.39e-4,9,0.792,-6.5139999999999985,1,Dancing Queen,78,1976,0.0428,100.804,Popular,,1,ABBA,230.4,0
0.789,1977,0.0644,['Fleetwood Mac'],0.828,257800,0.4920000000000001,0,0ofHAoxe9vBkTCp2UQIavz,0.00428,0,0.128,-9.744,1,Dreams - 2004 Remaster,89,1977-02-04,0.0276,120.151,Popular,,1,Fleetwood Mac,257.8,0
0.481,1977,0.009,['Fleetwood Mac'],0.545,270213,0.67,0,5e9TFTbltYBg2xThimr0rU,8.22e-4,9,0.0451,-8.81,1,The Chain - 2004 Remaster,82,1977-02-04,0.0496,151.553,Popular,,1,Fleetwood Mac,270.213,0
0.477,1977,0.652,['Electric Light Orchestra'],0.388,303373,0.338,0,2RlgNHKcydI9sayD2Df2xp,3.72e-6,10,0.248,-10.054,1,Mr. Blue Sky,81,1977,0.0328,177.78400000000005,Popular,,1,Electric Light Orchestra,303.373,0
0.706,1977,0.292,['Bill Withers'],0.69,254560,0.6509999999999999,0,0bRXwKfigvpKZUurwqAlEh,0.00241,9,0.105,-8.267000000000001,1,Lovely Day,76,1977-10-29,0.0324,97.918,Popular,,1,Bill Withers,254.56,0
0.615,1977,0.0111,['Bob Marley & The Wailers'],0.8140000000000001,180267,0.482,0,6A9mKXlFRPMPem6ygQSt7z,1.57e-6,9,0.0476,-10.493,1,Three Little Birds,77,1977-01-03,0.0588,148.404,Popular,,1,Bob Marley & The Wailers,180.267,0
0.354,1977,0.112,['Commodores'],0.589,256427,0.384,0,1JQ6Xm1JrvHfvAqhl5pwaA,2.8000000000000013e-5,10,0.0596,-15.075,0,Easy,76,1977-01-01,0.0332,132.909,Popular,,1,Commodores,256.427,0
0.485,1977,0.649,['Eric Clapton'],0.5720000000000001,225027,0.214,0,6zC0mpGYwbNTpk9SKwh08f,0.129,7,0.125,-15.625,1,Wonderful Tonight,76,1977-11-01,0.0293,95.542,Popular,,1,Eric Clapton,225.027,0
0.387,1977,0.3670000000000001,['Kansas'],0.475,206267,0.322,0,6zeE5tKyr8Nu882DQhhSQI,5.6e-4,7,0.11,-10.687,1,Dust in the Wind,77,1977,0.0283,93.503,Popular,,1,Kansas,206.267,0
0.979,1978,0.168,"['Earth, Wind & Fire']",0.6970000000000001,215093,0.8320000000000001,0,2grjqo0Frpf2okIBiifQKs,0.00131,9,0.269,-7.2639999999999985,1,September,80,1978-11-23,0.0298,125.926,Popular,,2,Earth,215.093,1
0.6629999999999999,1978,0.0384,['The Police'],0.618,191947,0.748,0,3EYOJ48Et32uATr9ZmLnAo,4.1e-6,0,0.0473,-8.905,1,Roxanne,76,1978-11-02,0.358,134.114,Popular,,1,The Police,191.947,0
0.8079999999999999,1978,0.00783,['TOTO'],0.473,235547,0.898,0,4aVuWgvD0X63hcOCnZtNFA,0.0618,6,0.173,-4.797,0,Hold the Line,76,1978-10-10,0.0561,96.556,Popular,,1,TOTO,235.547,0
0.423,1979,0.061,['AC/DC'],0.574,208400,0.913,0,2zYzyRzz6pRmhPzyfMEC8s,0.00158,6,0.156,-4.793,0,Highway to Hell,84,1979-07-27,0.133,115.728,Popular,,1,AC/DC,208.4,0
0.945,1979,0.0322,['Bee Gees'],0.703,285373,0.826,0,3mRM4NM8iO7UBqrSigCQFH,0.00629,10,0.179,-7.1789999999999985,0,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",79,1979-01-01,0.0341,103.564,Popular,,1,Bee Gees,285.373,0
0.7190000000000001,1979,0.0781,['Pink Floyd'],0.6940000000000001,238747,0.394,0,4gMgiXfqyzZLMhsksGmbQV,6.77e-4,0,0.247,-15.880999999999998,1,"Another Brick in the Wall, Pt. 2",76,1979-11-30,0.0428,104.126,Popular,,1,Pink Floyd,238.747,0
0.674,1979,0.105,['Bee Gees'],0.633,245200,0.35700000000000004,0,2JoZzpdeP2G6Csfdq5aLXP,0,5,0.133,-9.366,0,How Deep Is Your Love,79,1979-01-01,0.0264,104.938,Popular,,1,Bee Gees,245.2,0
0.867,1979,0.214,['KISS'],0.768,271240,0.852,0,07q0QVgO56EorrSGHC48y3,7.36e-5,4,0.0723,-6.215,1,I Was Made For Lovin' You,79,1979-03-23,0.038,128.373,Popular,,1,KISS,271.24,0
0.763,1980,0.011,['AC/DC'],0.31,255493,0.7,0,08mG3Y1vljYA6bvDt4Wqkj,0.00965,9,0.0828,-5.678,1,Back In Black,84,1980-07-25,0.047,188.386,Popular,,1,AC/DC,255.493,0
0.7709999999999999,1980,0.322,['Paul McCartney'],0.774,227653,0.511,0,1SV1fxF65n9NhRHp3KlBuu,0,11,0.0672,-8.914,1,Wonderful Christmastime - Edited Version / Remastered 2011,79,1980-05-16,0.0319,94.736,Popular,,1,Paul McCartney,227.653,0
0.902,1980,0.234,['Daryl Hall & John Oates'],0.7509999999999999,190627,0.501,0,4o6BgsqLIBViaGVbx5rbRk,0.112,5,0.0467,-12.151,1,You Make My Dreams (Come True),78,1980,0.0551,167.05700000000004,Popular,,1,Daryl Hall & John Oates,190.627,0
0.755,1980,0.00287,['AC/DC'],0.532,210173,0.767,0,2SiXAy7TuUkycRVbbWDEpo,5.13e-4,7,0.39,-5.509,1,You Shook Me All Night Long,80,1980-07-25,0.0574,127.361,Popular,,1,AC/DC,210.173,0
0.813,1980,0.416,['Dolly Parton'],0.5539999999999999,162467,0.7829999999999999,0,4w3tQBXhn5345eUXDGBWZG,1.54e-6,6,0.631,-5.852,1,9 to 5,76,1980,0.0457,105.39,Popular,,1,Dolly Parton,162.467,0
0.76,1980,0.36,['Bob Marley & The Wailers'],0.916,237000,0.72,0,5O4erNlJ74PIF6kGol1ZrC,1.6e-4,0,0.0958,-8.548,1,Could You Be Loved,76,1980,0.1,103.312,Popular,,1,Bob Marley & The Wailers,237,0
0.514,1981,0.127,['Journey'],0.5,250987,0.748,0,4bHsxqR3GMrXTxEPLuK5ue,0,4,0.447,-9.072,1,Don't Stop Believin',81,1981,0.0363,118.852,Popular,,1,Journey,250.987,0
